id,height,weight,base_exp
264,5,325,147
265,3,36,56
266,6,100,72
267,10,284,178
268,7,115,72
269,12,316,173
270,5,26,44
271,12,325,119
272,15,550,216
273,5,40,44
274,10,280,119
275,13,596,216
276,3,23,54
277,7,198,159
278,6,95,54
279,12,280,154
280,4,66,40
281,8,202,97
282,16,484,233
283,5,17,54
284,8,36,159
285,4,45,59
286,12,392,161
287,8,240,56
288,14,465,154
289,20,1305,252
290,5,55,53
291,8,120,160
292,8,12,83
293,6,163,48
294,10,405,126
295,15,840,221
296,10,864,47
297,23,2538,166
298,2,20,38
299,10,970,75
300,6,110,52
301,11,326,140
302,5,110,133
303,6,115,133
304,4,600,66
305,9,1200,151
306,21,3600,239
307,6,112,56
308,13,315,144
309,6,152,59
310,15,402,166
311,4,42,142
312,4,42,142
313,7,177,151
314,6,177,151
315,3,20,140
316,4,103,60
317,17,800,163
318,8,208,61
319,18,888,161
320,20,1300,80
321,145,3980,175
322,7,240,61
323,19,2200,161
324,5,804,165
325,7,306,66
326,9,715,165
327,11,50,126
328,7,150,58
329,11,153,119
330,20,820,234
331,4,513,67
332,13,774,166
333,4,12,62
334,11,206,172
335,13,403,160
336,27,525,160
337,10,1680,161
338,12,1540,161
339,4,19,58
340,9,236,164
341,6,115,62
342,11,328,164
343,5,215,60
344,15,1080,175
345,10,238,71
346,15,604,173
347,7,125,71
348,15,682,173
349,6,74,40
350,62,1620,189
351,3,8,147
352,10,220,154
353,6,23,59
354,11,125,159
355,8,150,59
356,16,306,159
357,20,1000,161
358,6,10,159
359,12,470,163
360,6,140,52
361,7,168,60
362,15,2565,168
363,8,395,58
364,11,876,144
365,14,1506,239
366,4,525,69
367,17,270,170
368,18,226,170
369,10,234,170
370,6,87,116
371,6,421,60
372,11,1105,147
373,15,1026,270
374,6,952,60
375,12,2025,147
376,16,5500,270
377,17,2300,261
378,18,1750,261
379,19,2050,261
380,14,400,270
381,20,600,270
382,45,3520,302
383,35,9500,302
384,70,2065,306
385,3,11,270
386,17,608,270
387,4,102,64
388,11,970,142
389,22,3100,236
390,5,62,62
391,9,220,142
392,12,550,240
393,4,52,63
394,8,230,142
395,17,845,239
396,3,20,49
397,6,155,119
398,12,249,218
399,5,200,50
400,10,315,144
401,3,22,39
402,10,255,134
403,5,95,53
404,9,305,127
405,14,420,235
406,2,12,56
407,9,145,232
408,9,315,70
409,16,1025,173
410,5,570,70
411,13,1495,173
412,2,34,45
413,5,65,148
414,9,233,148
415,3,55,49
416,12,385,166
417,4,39,142
418,7,295,66
419,11,335,173
420,4,33,55
421,5,93,158
422,3,63,65
423,9,299,166
424,12,203,169
425,4,12,70
426,12,150,174
427,4,55,70
428,12,333,168
429,9,44,173
430,9,273,177
431,5,39,62
432,10,438,158
433,2,6,57
434,4,192,66
435,10,380,168
436,5,605,60
437,13,1870,175
438,5,150,58
439,6,130,62
440,6,244,110
441,5,19,144
442,10,1080,170
443,7,205,60
444,14,560,144
445,19,950,270
446,6,1050,78
447,7,202,57
448,12,540,184
449,8,495,66
450,20,3000,184
451,8,120,66
452,13,615,175
453,7,230,60
454,13,444,172
455,14,270,159
456,4,70,66
457,12,240,161
458,10,650,69
459,10,505,67
460,22,1355,173
461,11,340,179
462,12,1800,241
463,17,1400,180
464,24,2828,241
465,20,1286,187
466,18,1386,243
467,16,680,243
468,15,380,245
469,19,515,180
470,10,255,184
471,8,259,184
472,20,425,179
473,25,2910,239
474,9,340,241
475,16,520,233
476,14,3400,184
477,22,1066,236
478,13,266,168
479,3,3,154
480,3,3,261
481,3,3,261
482,3,3,261
483,54,6830,306
484,42,3360,306
485,17,4300,270
486,37,4200,302
487,45,7500,306
488,15,856,270
489,4,31,216
490,3,14,270
491,15,505,270
492,2,21,270
493,32,3200,324
494,4,40,270
495,6,81,62
496,8,160,145
497,33,630,238
498,5,99,62
499,10,555,146
500,16,1500,238
501,5,59,62
502,8,245,145
503,15,946,238
504,5,116,51
505,11,270,147
506,4,41,55
507,9,147,130
508,12,610,225
509,4,101,56
510,11,375,156
511,6,105,63
512,11,305,174
513,6,110,63
514,10,280,174
515,6,135,63
516,10,290,174
517,6,233,58
518,11,605,170
519,3,21,53
520,6,150,125
521,12,290,220
522,8,298,59
523,16,795,174
524,4,180,56
525,9,1020,137
526,17,2600,232
527,4,21,65
528,9,105,149
529,3,85,66
530,7,404,178
531,11,310,390
532,6,125,61
533,12,400,142
534,14,870,227
535,5,45,59
536,8,170,134
537,15,620,229
538,13,555,163
539,14,510,163
540,3,25,62
541,5,73,133
542,12,205,225
543,4,53,52
544,12,585,126
545,25,2005,218
546,3,6,56
547,7,66,168
548,5,66,56
549,11,163,168
550,10,180,161
551,7,152,58
552,10,334,123
553,15,963,234
554,6,375,63
555,13,929,168
556,10,280,161
557,3,145,65
558,14,2000,170
559,6,118,70
560,11,300,171
561,14,140,172
562,5,15,61
563,17,765,169
564,7,165,71
565,12,810,173
566,5,95,71
567,14,320,177
568,6,310,66
569,19,1073,166
570,7,125,66
571,16,811,179
572,4,58,60
573,5,75,165
574,4,58,58
575,7,180,137
576,15,440,221
577,3,10,58
578,6,80,130
579,10,201,221
580,5,55,61
581,13,242,166
582,4,57,61
583,11,410,138
584,13,575,241
585,6,195,67
586,19,925,166
587,4,50,150
588,5,59,63
589,10,330,173
590,2,10,59
591,6,105,162
592,12,330,67
593,22,1350,168
594,12,316,165
595,1,6,64
596,8,143,165
597,6,188,61
598,10,1100,171
599,3,210,60
600,6,510,154
601,6,810,234
602,2,3,55
603,12,220,142
604,21,805,232
605,5,90,67
606,10,345,170
607,3,31,55
608,6,130,130
609,10,343,234
610,6,180,64
611,10,360,144
612,18,1055,243
613,5,85,61
614,26,2600,177
615,11,1480,180
616,4,77,61
617,8,253,173
618,7,110,165
619,9,200,70
620,14,355,179
621,16,1390,170
622,10,920,61
623,28,3300,169
624,5,102,68
625,16,700,172
626,16,946,172
627,5,105,70
628,15,410,179
629,5,90,74
630,12,395,179
631,14,580,169
632,3,330,169
633,8,173,60
634,14,500,147
635,18,1600,270
636,11,288,72
637,16,460,248
638,21,2500,261
639,19,2600,261
640,20,2000,261
641,15,630,261
642,15,610,261
643,32,3300,306
644,29,3450,306
645,15,680,270
646,30,3250,297
647,14,485,261
648,6,65,270
649,15,825,270
650,4,90,63
651,7,290,142
652,16,900,239
653,4,94,61
654,10,145,143
655,15,390,240
656,3,70,63
657,6,109,142
658,15,400,239
659,4,50,47
660,10,424,148
661,3,17,56
662,7,160,134
663,12,245,175
664,3,25,40
665,3,84,75
666,12,170,185
667,6,135,74
668,15,815,177
669,1,1,61
670,2,9,130
671,11,100,248
672,9,310,70
673,17,910,186
674,6,80,70
675,21,1360,173
676,12,280,165
677,3,35,71
678,6,85,163
679,8,20,65
680,8,45,157
681,17,530,234
682,2,5,68
683,8,155,162
684,4,35,68
685,8,50,168
686,4,35,58
687,15,470,169
688,5,310,61
689,13,960,175
690,5,73,64
691,18,815,173
692,5,83,66
693,13,353,100
694,5,60,58
695,10,210,168
696,8,260,72
697,25,2700,182
698,13,252,72
699,27,2250,104
700,10,235,184
701,8,215,175
702,2,22,151
703,3,57,100
704,3,28,60
705,8,175,158
706,20,1505,270
707,2,30,165
708,4,70,62
709,15,710,166
710,4,50,67
711,9,125,173
712,10,995,61
713,20,5050,180
714,5,80,49
715,15,850,187
716,30,2150,306
717,58,2030,306
718,50,3050,270
719,7,88,270
720,5,90,270
721,17,1950,270
722,3,15,64
723,7,160,147
724,16,366,239
725,4,43,64
726,7,250,147
727,18,830,239
728,4,75,64
729,6,175,147
730,18,440,239
731,3,12,53
732,6,148,124
733,11,260,218
734,4,60,51
735,7,142,146
736,4,44,60
737,5,105,140
738,15,450,225
739,6,70,68
740,17,1800,167
741,6,34,167
742,1,2,61
743,2,5,162
744,5,92,56
745,8,250,170
746,2,3,61
747,4,80,61
748,7,145,173
749,10,1100,77
750,25,9200,175
751,3,40,54
752,18,820,159
753,3,15,50
754,9,185,168
755,2,15,57
756,10,115,142
757,6,48,64
758,12,222,168
759,5,68,68
760,21,1350,175
761,3,32,42
762,7,82,102
763,12,214,230
764,1,3,170
765,15,760,172
766,20,828,172
767,5,120,46
768,20,1080,186
769,5,700,64
770,13,2500,168
771,3,12,144
772,19,1205,107
773,23,1005,257
774,3,400,154
775,4,199,168
776,20,2120,170
777,3,33,152
778,2,7,167
779,9,190,166
780,30,1850,170
781,39,2100,181
782,6,297,60
783,12,470,147
784,16,782,270
785,18,205,257
786,12,186,257
787,19,455,257
788,13,212,257
789,2,1,40
790,1,9999,140
791,34,2300,306
792,40,1200,306
793,12,555,257
794,24,3336,257
795,18,250,257
796,38,1000,257
797,92,9999,257
798,3,1,257
799,55,8880,257
800,24,2300,270
801,10,805,270
802,7,222,270
803,6,18,189
804,36,1500,243
805,55,8200,257
806,18,130,257
807,15,445,270
808,2,80,135
809,25,8000,270
810,3,50,62
811,7,140,147
812,21,900,265
813,3,45,62
814,6,90,147
815,14,330,265
816,3,40,62
817,7,115,147
818,19,452,265
819,3,25,55
820,6,60,161
821,2,18,49
822,8,160,128
823,22,750,248
824,4,80,36
825,4,195,117
826,4,408,253
827,6,89,49
828,12,199,159
829,4,22,50
830,5,25,161
831,6,60,122
832,13,430,172
833,3,85,57
834,10,1155,170
835,3,135,54
836,10,340,172
837,3,120,48
838,11,780,144
839,28,3105,255
840,2,5,52
841,3,10,170
842,4,130,170
843,22,76,63
844,38,655,179
845,8,180,166
846,5,10,56
847,13,300,172
848,4,110,48
849,16,400,176
850,7,10,61
851,30,1200,184
852,6,40,62
853,16,390,168
854,1,2,62
855,2,4,178
856,4,34,53
857,6,48,130
858,21,51,255
859,4,55,53
860,8,125,130
861,15,610,255
862,16,460,260
863,8,280,154
864,10,4,179
865,8,1170,177
866,15,582,182
867,16,666,169
868,2,3,54
869,3,5,173
870,30,620,165
871,3,10,152
872,3,38,37
873,13,420,166
874,25,5200,165
875,14,890,165
876,9,280,166
877,3,30,153
878,12,1000,66
879,30,6500,175
880,18,1900,177
881,23,1500,177
882,23,2150,177
883,20,1750,177
884,18,400,187
885,5,20,54
886,14,110,144
887,30,500,300
888,28,1100,335
889,29,2100,335
890,200,9500,345
891,6,120,77
892,19,1050,275
893,18,700,300
894,12,1450,290
895,21,2000,290
896,22,8000,290
897,20,445,290
898,11,77,250
899,18,951,263
900,18,890,175
901,24,2900,275
902,30,1100,265
903,13,430,102
904,25,605,179
905,16,480,116
906,4,41,62
907,9,122,144
908,15,312,265
909,4,98,62
910,10,307,144
911,16,3265,265
912,5,61,62
913,12,215,144
914,18,619,265
915,5,102,51
916,10,1200,171
917,3,40,42
918,10,165,141
919,2,10,42
920,10,175,158
921,3,25,48
922,4,65,123
923,9,410,245
924,3,18,61
925,3,28,165
926,3,109,62
927,5,149,167
928,3,65,52
929,6,119,124
930,14,482,255
931,6,24,146
932,4,160,56
933,6,1050,124
934,23,2400,250
935,6,105,51
936,15,850,263
937,16,620,263
938,3,4,54
939,12,1130,173
940,4,36,56
941,14,386,172
942,5,160,68
943,11,610,177
944,2,7,58
945,7,272,170
946,6,6,55
947,12,60,168
948,9,330,67
949,19,580,180
950,13,790,158
951,3,30,61
952,9,150,170
953,2,10,54
954,3,35,165
955,2,15,51
956,19,900,168
957,4,89,59
958,7,591,133
959,7,1128,253
960,12,18,49
961,12,54,149
962,15,429,243
963,13,602,63
964,13,602,160
965,10,350,60
966,18,1200,175
967,16,630,175
968,25,3100,240
969,7,80,70
970,15,450,184
971,6,350,58
972,20,150,171
973,16,370,175
974,12,450,67
975,45,7000,182
976,25,900,167
977,120,2200,265
978,3,80,166
979,12,560,268
980,18,2230,151
981,32,1600,260
982,36,392,182
983,20,1200,275
984,22,3200,285
985,12,80,285
986,12,210,285
987,14,40,285
988,32,920,285
989,23,600,285
990,9,2400,285
991,6,110,285
992,18,3807,285
993,13,1110,285
994,12,360,285
995,16,3030,285
996,5,170,64
997,8,300,148
998,21,2100,300
999,3,50,60
1000,12,300,275
1001,15,742,285
1002,19,1522,285
1003,27,6997,285
1004,4,49,285
1005,20,3800,295
1006,14,350,295
1007,25,3030,335
1008,35,2400,335
1009,35,2800,295
1010,15,1250,295
1011,4,97,170
1012,1,11,62
1013,2,22,178
1014,18,922,278
1015,10,122,278
1016,14,301,278
1017,12,398,275
1018,20,600,300
1019,18,930,270
1020,35,5900,295
1021,52,4800,295
1022,15,1625,295
1023,16,1560,295
1024,2,65,90
1025,3,3,300
10001,17,608,270
10002,17,608,270
10003,17,608,270
10004,5,65,148
10005,5,65,148
10006,4,52,270
10007,69,6500,340
10008,3,3,182
10009,3,3,182
10010,3,3,182
10011,3,3,182
10012,3,3,182
10013,3,8,147
10014,3,8,147
10015,3,8,147
10016,10,180,161
10017,13,929,189
10018,6,65,270
10019,14,630,290
10020,30,610,290
10021,13,680,300
10022,33,3250,350
10023,36,3250,350
10024,14,485,290
10025,6,85,163
10026,17,530,250
10027,3,35,67
10028,5,75,67
10029,8,150,67
10030,7,95,173
10031,11,140,173
10032,17,390,173
10033,24,1555,281
10034,17,1105,285
10035,17,1005,285
10036,16,1011,284
10037,12,480,270
10038,14,405,270
10039,22,1000,207
10040,17,590,210
10041,65,3050,224
10042,21,790,215
10043,23,1270,351
10044,15,330,351
10045,14,615,275
10046,20,1250,210
10047,17,625,210
10048,19,495,210
10049,25,2550,315
10050,19,520,284
10051,16,484,278
10052,10,235,168
10053,22,3950,284
10054,13,315,179
10055,18,440,201
10056,12,130,194
10057,12,490,198
10058,19,950,315
10059,13,575,219
10060,27,1850,208
10061,2,9,243
10062,18,520,315
10063,23,700,315
10064,19,1020,286
10065,19,552,284
10066,5,1610,168
10067,15,206,207
10068,16,564,278
10069,15,320,425
10070,25,1303,196
10071,20,1200,207
10072,105,7400,214
10073,22,505,261
10074,21,3502,203
10075,11,278,315
10076,25,9429,315
10077,98,4300,347
10078,50,9997,347
10079,108,3920,351
10086,65,4900,306
10087,25,3205,196
10088,13,283,203
10089,18,1126,315
10090,14,405,223
10091,3,38,51
10092,7,255,145
10100,7,210,243
10101,7,400,60
10102,12,550,158
10103,6,99,60
10104,11,199,177
10105,2,10,53
10106,7,666,149
10107,4,42,58
10108,11,330,154
10109,4,203,60
10110,10,1100,137
10111,17,3160,223
10112,7,420,65
10113,10,520,175
10114,109,4156,186
10115,10,340,149
10116,15,400,239
10117,15,400,288
10118,12,335,243
10119,50,3050,300
10120,45,6100,354
10123,6,34,167
10124,6,34,167
10125,6,34,167
10126,11,250,170
10127,82,786,217
10130,3,400,154
10131,3,400,154
10132,3,400,154
10133,3,400,154
10134,3,400,154
10135,3,400,154
10136,3,3,175
10137,3,3,175
10138,3,3,175
10139,3,3,175
10140,3,3,175
10141,3,3,175
10142,3,3,175
10143,2,7,167
10147,10,805,300
10151,5,92,56
10152,8,250,170
10155,38,4600,340
10156,42,3500,340
10157,75,2300,339
10161,4,75,58
10162,8,240,82
10163,17,800,175
10164,12,360,63
10165,16,705,172
10166,8,420,132
10167,30,160,172
10168,14,568,161
10169,17,509,290
10170,16,582,290
10171,20,660,290
10172,18,795,172
10173,6,5,144
10174,4,175,56
10175,5,325,147
10176,7,400,63
10177,17,1200,168
10178,17,1200,189
10179,5,15,61
10180,7,205,165
10181,12,335,243
10182,8,180,166
10183,8,180,166
10184,16,400,176
10185,14,890,165
10186,9,280,166
10187,3,30,153
10188,28,3550,360
10189,29,7850,360
10190,1000,0,563
10191,19,1050,275
10192,18,700,300
10193,24,8091,340
10194,24,536,340
10229,8,227,70
10230,20,1680,194
10231,5,130,66
10232,12,710,172
10233,16,698,240
10234,5,39,88
10235,9,270,86
10236,15,582,238
10237,12,192,168
10238,7,125,66
10239,16,730,179
10240,17,434,179
10241,7,685,158
10242,17,3341,270
10243,14,2624,180
10244,16,370,239
10245,70,8487,306
10246,63,6590,306
10247,10,180,161
10248,30,1100,265
10249,16,480,116
10250,14,1150,172
10251,14,850,172
10252,14,1100,172
10253,4,110,42
10254,10,1200,171
10255,45,474,182
10256,18,974,160
10257,3,23,165
10258,3,80,166
10259,3,80,166
10260,6,24,146
10261,6,24,146
10262,6,24,146
10263,1,10,60
10272,24,2900,275
10273,12,398,275
10274,12,398,275
10275,12,398,275
10276,3,160,90
10277,17,770,90
